Date,MMM,AXP,AMGN.O,AAPL.O,BA,CAT,CVX,CSCO.O,KO,DIS,DOW,GS,HD,HON.O,IBM,INTC.O,JNJ,JPM,MCD,MRK,MSFT.O,NKE,PG,CRM,TRV,UNH,V,VZ,WBA.O,WMT
2023/7/31,-0.34%,2.09%,-0.94%,0.32%,0.07%,1.82%,3.02%,-0.10%,-0.88%,3.20%,1.82%,0.75%,0.75%,-0.54%,0.51%,-2.88%,-3.98%,0.67%,-0.28%,0.29%,-0.72%,1.63%,-0.07%,-0.26%,-0.38%,0.69%,0.15%,0.84%,0.57%,-0.03%
2023/7/28,0.62%,1.12%,0.14%,1.35%,2.11%,0.82%,-0.49%,-1.72%,0.06%,0.90%,0.95%,-0.36%,0.50%,-0.62%,0.34%,6.60%,0.45%,0.57%,-0.39%,1.02%,2.31%,0.88%,2.83%,0.20%,-0.92%,-0.46%,1.43%,0.56%,-2.71%,0.47%
2023/7/27,-1.29%,-2.47%,0.36%,-0.66%,0.41%,-0.01%,-1.04%,-0.41%,-0.97%,-0.58%,2.31%,-0.85%,0.04%,-5.69%,1.35%,0.55%,0.56%,-1.10%,1.18%,-1.75%,-2.09%,-1.49%,-1.19%,-0.19%,0.41%,-0.55%,-2.30%,-1.12%,-0.71%,-0.36%
2023/7/26,2.56%,0.75%,-0.04%,0.45%,8.72%,-1.43%,-0.75%,-0.71%,1.29%,0.27%,0.41%,0.81%,1.37%,-0.68%,0.53%,0.76%,0.19%,0.60%,-0.21%,-0.36%,-3.76%,0.92%,0.10%,-0.20%,1.19%,-0.57%,0.29%,-0.67%,0.52%,0.36%
2023/7/25,5.33%,-0.77%,-0.05%,0.45%,-0.81%,1.04%,0.46%,0.92%,-0.34%,-1.12%,1.77%,-1.18%,0.01%,0.17%,0.57%,1.40%,0.77%,-0.75%,-1.00%,-1.16%,1.70%,-0.43%,0.23%,0.16%,-1.56%,0.44%,0.77%,-0.85%,0.16%,-0.08%
2023/7/24,-0.06%,-1.43%,0.26%,0.42%,1.92%,0.67%,1.97%,0.91%,0.03%,-0.67%,-0.94%,1.98%,1.45%,0.35%,0.43%,-1.15%,0.52%,1.97%,-0.10%,-1.45%,0.39%,-0.27%,0.32%,-1.05%,1.17%,0.42%,0.30%,0.62%,0.59%,0.59%
2023/7/21,0.04%,-3.89%,0.68%,-0.62%,-0.85%,-1.32%,1.46%,0.50%,0.08%,1.13%,0.00%,0.31%,0.43%,0.31%,0.40%,1.95%,1.07%,-0.77%,-0.51%,1.78%,-0.89%,1.42%,1.57%,-0.04%,-0.47%,0.45%,0.71%,-0.15%,0.73%,0.57%
2023/7/20,0.78%,-0.01%,0.51%,-1.01%,2.40%,-0.63%,1.11%,-0.11%,1.22%,-0.95%,0.44%,3.03%,-0.12%,1.36%,2.14%,-3.16%,6.07%,1.23%,1.02%,2.37%,-2.31%,-2.14%,0.18%,-2.65%,1.80%,0.11%,-0.97%,-0.75%,1.04%,1.85%
2023/7/19,0.46%,-0.52%,-0.22%,0.71%,-1.40%,-0.40%,0.61%,2.32%,1.77%,1.27%,-0.30%,0.97%,0.86%,-0.04%,0.09%,-0.12%,-0.20%,0.38%,0.11%,0.00%,-1.23%,0.15%,0.68%,2.96%,-0.27%,0.74%,5.27%,0.27%,1.18%,0.03%
2023/7/18,1.29%,1.51%,2.08%,-0.13%,-0.14%,2.47%,0.20%,0.85%,-0.39%,0.46%,1.05%,3.08%,0.22%,-1.40%,0.83%,0.38%,-0.01%,0.18%,-0.29%,0.36%,3.98%,0.93%,0.19%,-0.16%,1.44%,3.29%,2.57%,-1.32%,1.58%,-0.18%
2023/7/17,-0.59%,1.15%,0.18%,1.73%,-0.59%,0.72%,-0.09%,0.85%,-0.15%,-3.45%,-0.93%,0.31%,-0.14%,0.98%,0.63%,3.68%,-0.50%,2.41%,-0.09%,-1.65%,0.14%,0.70%,-0.71%,-0.58%,1.59%,0.81%,-7.50%,0.34%,-0.27%,0.12%
2023/7/14,-0.54%,-0.49%,-0.10%,0.08%,-1.72%,-0.09%,-2.50%,-2.23%,0.91%,-2.04%,-2.38%,-0.76%,0.60%,-1.23%,-0.39%,-2.13%,0.67%,0.60%,-0.09%,0.96%,0.75%,0.10%,0.74%,-0.45%,-1.35%,7.24%,-1.82%,-0.06%,-1.82%,0.34%
2023/7/13,1.27%,-0.05%,0.88%,0.41%,-0.12%,0.89%,-1.33%,1.56%,0.85%,0.35%,0.18%,0.70%,-0.92%,0.09%,0.81%,-0.32%,0.46%,0.49%,-0.13%,-1.07%,1.62%,0.07%,0.07%,1.36%,-1.69%,-0.87%,-0.63%,0.45%,-1.91%,-0.59%
2023/7/12,-0.34%,-0.18%,0.81%,0.90%,-0.75%,0.30%,0.96%,-2.65%,0.54%,0.74%,1.29%,1.72%,1.23%,-0.10%,-1.19%,2.04%,-0.35%,0.50%,0.30%,-1.13%,1.42%,0.34%,0.52%,2.76%,-0.72%,-2.42%,-0.37%,0.69%,-0.82%,0.25%
2023/7/11,4.87%,1.71%,-0.39%,-0.28%,2.55%,1.62%,1.85%,1.40%,0.35%,1.58%,0.28%,1.39%,1.09%,0.48%,1.16%,1.71%,-0.55%,1.56%,0.08%,-1.15%,0.19%,1.52%,-0.52%,3.93%,1.95%,-0.03%,-0.43%,1.00%,2.62%,-0.15%
2023/7/10,-0.10%,1.12%,2.78%,-1.09%,0.57%,1.48%,0.67%,0.80%,-0.75%,-0.61%,0.32%,0.41%,2.47%,2.20%,0.62%,2.79%,0.16%,0.56%,0.82%,0.88%,-1.60%,1.26%,0.04%,1.54%,-1.50%,0.32%,-2.12%,0.72%,2.37%,0.91%
2023/7/7,1.02%,-0.67%,-1.94%,-0.59%,-0.24%,1.91%,0.88%,-0.23%,-1.32%,-0.11%,0.63%,0.69%,0.26%,-0.37%,-0.06%,-0.38%,-1.45%,0.79%,-0.96%,-2.46%,-1.19%,-0.61%,-2.10%,-0.26%,0.43%,-1.66%,-3.31%,-1.02%,-0.03%,-2.30%
2023/7/6,-2.35%,-2.64%,-1.28%,0.25%,-0.32%,-1.74%,-2.19%,-0.78%,-0.77%,-1.17%,-0.13%,-2.20%,-2.82%,-1.17%,-1.55%,-1.66%,-0.74%,-0.99%,-0.67%,-1.72%,0.92%,-1.87%,-0.16%,-1.72%,-0.97%,-0.39%,-0.93%,-0.24%,-0.51%,-0.63%
2023/7/5,-2.48%,0.07%,0.39%,-0.59%,1.13%,-1.01%,-0.57%,-0.60%,0.74%,-0.78%,-1.75%,-2.01%,0.25%,-0.90%,0.43%,-3.30%,-0.33%,-1.34%,0.70%,-0.55%,0.05%,-1.84%,-0.17%,1.03%,-0.29%,-1.39%,0.54%,0.62%,0.83%,-0.06%
2023/7/3,1.05%,0.71%,1.35%,-0.78%,-0.11%,0.52%,-0.09%,0.15%,0.60%,1.37%,0.98%,1.26%,-0.20%,0.39%,-0.10%,0.54%,-1.31%,0.80%,-1.20%,-0.92%,-0.75%,-1.14%,0.50%,0.18%,-0.33%,-0.57%,0.24%,0.21%,1.86%,0.65%
2023/6/30,0.86%,1.23%,0.39%,2.31%,-0.32%,0.74%,0.71%,1.03%,0.33%,0.37%,0.04%,-0.17%,0.92%,0.50%,-0.19%,1.61%,0.87%,1.40%,1.34%,1.63%,1.64%,-2.65%,1.58%,0.39%,1.56%,0.88%,0.54%,1.35%,0.42%,1.88%
2023/6/29,0.68%,1.35%,-0.07%,0.18%,0.53%,0.98%,0.85%,0.67%,-0.83%,0.14%,0.53%,3.01%,0.43%,1.96%,1.75%,-1.97%,0.70%,3.49%,0.94%,0.98%,-0.24%,0.30%,-0.41%,-0.82%,1.56%,0.42%,0.46%,2.79%,-2.44%,-0.68%
2023/6/28,0.32%,0.95%,-0.58%,0.63%,0.62%,0.49%,0.91%,0.02%,-0.93%,-0.26%,0.74%,0.07%,-2.30%,-0.41%,-0.44%,-1.55%,-0.20%,-0.44%,0.15%,-0.78%,0.38%,-0.51%,-0.02%,1.60%,-2.45%,-1.68%,0.74%,0.27%,1.54%,0.54%
2023/6/27,-2.14%,0.65%,-0.94%,1.51%,1.87%,1.58%,-0.31%,1.29%,-0.21%,0.41%,1.19%,0.35%,1.90%,0.38%,0.76%,2.28%,-0.21%,0.01%,0.76%,0.21%,1.82%,1.67%,0.95%,0.70%,0.12%,0.73%,1.22%,0.46%,-9.34%,-0.36%
2023/6/26,-0.31%,-0.57%,-1.05%,-0.76%,0.08%,1.07%,1.76%,-0.24%,0.03%,0.68%,1.15%,-0.75%,2.35%,1.24%,1.48%,1.03%,-1.12%,0.24%,-0.28%,-1.33%,-1.92%,2.03%,0.10%,-1.30%,-0.77%,0.43%,1.69%,-1.42%,0.61%,-0.26%
2023/6/23,0.29%,-0.11%,-1.11%,-0.17%,-0.10%,-1.22%,-0.85%,-1.55%,-1.05%,-0.44%,-0.06%,-1.52%,-0.12%,-0.28%,-1.33%,0.89%,-0.08%,-0.52%,-1.16%,0.77%,-1.38%,-0.85%,-0.99%,-1.50%,-0.74%,-0.43%,-0.95%,0.51%,-1.54%,-0.19%
2023/6/22,-1.02%,0.20%,1.15%,1.65%,-3.05%,-1.71%,-1.45%,0.53%,0.68%,-0.17%,-0.94%,-1.69%,0.16%,-0.57%,-1.88%,-0.58%,1.06%,-1.93%,-0.41%,2.30%,1.84%,0.44%,0.34%,1.77%,-0.16%,0.48%,0.06%,0.50%,1.05%,0.84%
2023/6/21,-0.81%,-0.88%,-0.68%,-0.57%,-0.14%,0.14%,0.78%,-1.36%,0.28%,-1.24%,-0.08%,-1.71%,-0.24%,0.70%,-1.67%,-6.00%,-0.15%,-0.15%,0.51%,0.84%,-1.33%,0.40%,0.86%,-3.40%,-0.15%,1.57%,0.06%,0.34%,-2.56%,0.19%
2023/6/20,-2.14%,-1.63%,-0.47%,0.05%,-3.46%,-1.68%,-2.28%,-1.00%,-0.66%,-1.72%,-2.33%,-2.24%,0.34%,-1.27%,-1.11%,-3.77%,-0.06%,-0.51%,-0.22%,0.83%,-1.25%,-3.57%,-0.92%,2.46%,-0.67%,2.38%,-1.78%,-1.07%,-0.86%,-0.88%
